Account ,Current Services,PPC Upsold,Upsold Date,SEO Upsold,Upsold Date,CRO Upsold,Upsold Date,Strategy Upsold,Upsold Date,Feed Management Upsold,Upsold Date,Email Marketing Upsold,Upsold Date
Mondev,"Adwords, Facebook, Bing",TRUE,Active,TRUE,Active ,TRUE,Actve,FALSE,,FALSE,,FALSE,
Mondou,"Adwords, Facebook, Bing",TRUE,Active,FALSE,,TRUE,Active,FALSE,,FALSE,,FALSE,
Montreal Exclusive,Adwords,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Mustela Canada,"Adwords, Facebook",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Médicus,,TRUE,Active,TRUE,Active ,FALSE,,FALSE,,FALSE,,FALSE,
Naturally Vain,"Adwords, Facebook",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Oatbox,"Adwords, Facebook",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
One Drop,"Adwords, Facebook",TRUE,Active,TRUE,Mandate 2018,FALSE,,FALSE,,FALSE,,FALSE,
Oxford Properties,"Adwords, Facebook, Bing",TRUE,Active,TRUE,Pitched 2018,FALSE,,FALSE,,FALSE,,FALSE,
Passionimo,"Adwords, Facebook",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Passionimo,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Passionimo,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Passionimo,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Passionimo,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Passionimo,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Passionimo,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Passionimo,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Passionimo,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Petfast,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Pivotal Payments,"Adwords, Facebook, Bing",TRUE,Active,TRUE,Mandate 2018,TRUE,Mandate 2018,FALSE,,FALSE,,FALSE,
Planbox,"Adwords, Bing",TRUE,Active,TRUE,Mandate 2018,TRUE,Mandate 2018,FALSE,,FALSE,,FALSE,
Plancher Émard,,TRUE,Active,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,
Polysleep,"Adwords, Facebook, Bing",FALSE,,FALSE,,FALSE,,FALSE,,TRUE,2/26/2019,FALSE,
Poso-Plus,"Adwords, Facebook",TRUE,Active,TRUE,Active ,FALSE,,FALSE,,FALSE,,FALSE,
Pratt & Whitney,,FALSE,,TRUE,upcoming,FALSE,,FALSE,,FALSE,,FALSE,
Pratt & Whitney,,FALSE,,TRUE,upcoming,FALSE,,FALSE,,FALSE,,FALSE,
Pratt & Whitney,Adwords,FALSE,,TRUE,upcoming,FALSE,,FALSE,,FALSE,,FALSE,
Pratt & Whitney,,FALSE,,TRUE,upcoming,FALSE,,FALSE,,FALSE,,FALSE,
Pratt & Whitney,,FALSE,,TRUE,upcoming,FALSE,,FALSE,,FALSE,,FALSE,
Pratt & Whitney,,FALSE,,TRUE,upcoming,FALSE,,FALSE,,FALSE,,FALSE,
Proment,"Adwords, Facebook, Bing",TRUE,Active,TRUE,Mandate 2017,FALSE,,FALSE,,FALSE,,FALSE,
Protégez-Vous,"Adwords, Bing",TRUE,Active,TRUE,Mandate 2017,FALSE,,FALSE,,FALSE,,FALSE,
Protégez-Vous,Adwords,TRUE,Active,TRUE,Mandate 2017,FALSE,,FALSE,,FALSE,,FALSE,
Psycho Bunny,"Adwords, Facebook, Bing",FALSE,,TRUE,10-15-2018,TRUE,10-15-2018 to 02-28-2019,FALSE,,FALSE,,FALSE,
Quartz,"Adwords, Facebook",FALSE,,TRUE,2-17-2019,TRUE,2-17-2019,FALSE,,FALSE,,FALSE,
RampartCorp,,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Renaud Bray,"Adwords, Facebook",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Rheabrio,Adwords,TRUE,Active,TRUE,Pitched 2018,FALSE,,FALSE,,FALSE,,FALSE,
Roche Bobois,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Root Data Center,"Adwords, Bing",TRUE,Active,TRUE,Pitched 2017,FALSE,,FALSE,,FALSE,,FALSE,
Rôtisserie Fusée,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Salesforce,,TRUE,April,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Silk'N,"Adwords, Bing",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Simpli-Home,"Adwords, Facebook, Bing",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Smart Reno,Facebook,TRUE,Active,TRUE,Active ,FALSE,,FALSE,,FALSE,,FALSE,
Smart Saver,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Sterling House British Virgin Islands,,FALSE,,TRUE,Active ,FALSE,,FALSE,,FALSE,,FALSE,
Stokes,"Adwords, Facebook, Bing",TRUE,Active,TRUE,Active ,FALSE,,FALSE,,FALSE,,FALSE,
Streamscan,,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Structube,"Adwords, Facebook, Bing",TRUE,Active,TRUE,Pitched 2017,FALSE,,FALSE,,FALSE,,FALSE,
Surge Homes,"Adwords, Facebook, Bing",TRUE,Active,TRUE,Pitched 2017,FALSE,,FALSE,,FALSE,,FALSE,
Technion,"Adwords, Facebook",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Think Max,"Adwords, Bing",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
ThinkEmpire,"Adwords, Facebook",TRUE,Active,TRUE,Pitched 2018,FALSE,,FALSE,,FALSE,,FALSE,
TIILT,Adwords,TRUE,Active,TRUE,Pitched 2017,FALSE,,FALSE,,FALSE,,FALSE,
TIMC,Adwords,TRUE,Active,FALSE,,TRUE,01-01-2019,FALSE,,FALSE,,FALSE,
Tiny Trendsetter,"Adwords, Facebook",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Tourisme Laurentides,"Adwords, Facebook, Bing",TRUE,Active,TRUE,Pitched 2018,FALSE,,FALSE,,FALSE,,FALSE,
Traiteur bon appetit,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Transflo,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Transforming Faces,Adwords,TRUE,Active,TRUE,Active ,FALSE,,FALSE,,FALSE,,FALSE,
Tristan,"Adwords, Facebook",TRUE,Active,TRUE,Pitched 2018,FALSE,,FALSE,,FALSE,,FALSE,
Turkish Towels,Adwords,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Université Mcgill,Adwords,TRUE,Active,TRUE,Mandate 2017,FALSE,,FALSE,,FALSE,,FALSE,
Université Mcgill,"Adwords, Facebook",TRUE,Active,TRUE,Mandate 2017,FALSE,,FALSE,,FALSE,,FALSE,
Université Mcgill,"Adwords, Facebook",TRUE,Active,TRUE,Mandate 2017,FALSE,,FALSE,,FALSE,,FALSE,
Vent and Cover,Adwords,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Vulcan Hoist,Adwords,TRUE,Active,TRUE,Pitched 2018,FALSE,,FALSE,,FALSE,,FALSE,
W.S. Tyler,"Adwords, Bing",TRUE,Active,TRUE,Mandate 2017,FALSE,,FALSE,,FALSE,,FALSE,
Walter Technologies,"Adwords, Bing",TRUE,Active,TRUE,Pitched 2018,FALSE,,FALSE,,FALSE,,FALSE,
Westcoast Connection,"Adwords, Facebook",TRUE,Active,TRUE,Active ,FALSE,,FALSE,,FALSE,,FALSE,
Woof Pack,Facebook,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
X-Copper,"Adwords, Bing",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
X-Copper,Adwords,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
YM INC,"Adwords, Facebook",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Énergie Cardio,"Adwords, Facebook",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
ÉTS Formation,"Adwords, Facebook",TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
